id,sku,brand,old_type,new_type,sub_type,changed,name
3278,WF-T704,American Standard,sen-tam,cu-sen,,YES,"Vòi sen lạnh American Standard WF-T704 (WFT704)"
3279,23603000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh GROHE 23603000 2 chế độ"
3280,32865000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh GROHE 32865000"
3281,34286002,GROHE,sen-nhiet-do,phu-kien,thanh-truot,YES,"Bộ sen tắm nhiệt độ kèm thanh trượt Grohe 34286002"
3282,32820000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh BauEdge Grohe 32820000"
3283,32815000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh BauLoop Grohe 32815000"
3284,33624001,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Essence Grohe 33624001"
3285,23140000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Eurocube Grohe 23140000"
3286,33390002,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Eurodisc Cosmo Grohe 33390002"
3287,33300002,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Eurosmart Grohe 33300002"
3288,33591002,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Eurostyle Cosmo Grohe 33591002"
3289,33849001,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Lineare New Grohe 33849001"
3290,32831000,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh Eurosmart Cosmo Grohe 32831000"
3291,32832000,GROHE,sen-tam,cu-sen,,YES,"Sen tắm nóng lạnh Eurosmart Cosmo Grohe 32832000"
3292,33300003,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh EuroSmart GROHE 33300003"
3293,23603001,GROHE,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh BauLoop GROHE 23603001"
3294,AT97001-2+AT30101,ATMOR,sen-tam,cu-sen,,YES,"Bộ sen tắm nóng lạnh ATMOR AT97001-2 kèm AT30101"
3295,AT97001-2,ATMOR,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh ATMOR AT97001-2 (AT970012)"
3296,ATFS111049BK,ATMOR,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh ATMOR ATFS111049BK"
3297,AT90007,ATMOR,sen-tam,cu-sen,,YES,"Củ sen lạnh ATMOR AT90007"
3298,AT90881,ATMOR,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh ATMOR AT90881"
3299,AT12167,ATMOR,sen-tam,cu-sen,,YES,"Bộ sen tắm nóng lạnh ATMOR AT12167"
3300,63132,MOEN,sen-tam,cu-sen,,YES,"Bộ sen tắm nóng lạnh MOEN Fascination 63132"
